name,l_mean,l_std,l_entropy,a_mean,a_std,a_entropy,b_mean,b_std,b_entropy,curvature_mean,curvature_std,curvature_entropy,curvature_ggd1,curvature_ggd2,curvature_aggd1,curvature_aggd2,curvature_aggd3,curvature_aggd4,curvature_gamma1,curvature_gamma2,anisotropy_mean,anisotropy_std,anisotropy_entropy,anisotropy_ggd1,anisotropy_ggd2,anisotropy_aggd1,anisotropy_aggd2,anisotropy_aggd3,anisotropy_aggd4,anisotropy_gamma1,anisotropy_gamma2,linearity_mean,linearity_std,linearity_entropy,linearity_ggd1,linearity_ggd2,linearity_aggd1,linearity_aggd2,linearity_aggd3,linearity_aggd4,linearity_gamma1,linearity_gamma2,planarity_mean,planarity_std,planarity_entropy,planarity_ggd1,planarity_ggd2,planarity_aggd1,planarity_aggd2,planarity_aggd3,planarity_aggd4,planarity_gamma1,planarity_gamma2,sphericity_mean,sphericity_std,sphericity_entropy,sphericity_ggd1,sphericity_ggd2,sphericity_aggd1,sphericity_aggd2,sphericity_aggd3,sphericity_aggd4,sphericity_gamma1,sphericity_gamma2
bag_gQP_1_tQP_1.ply,46.4537581583048,21.578614962992766,6.7848591455862755,3.289591866760608,5.760626613501154,5.062160826320058,5.612203200159742,12.734766560420526,5.520457000076572,0.025598215,0.024677236,4.654579006449414,1.078,0.03555603,0.631,0.44364184783350064,0.62871236,1.3565478,1.0760353,0.023789382,0.9542889,0.04862646,4.452004733016062,10.0,0.955527,0.611,-0.5182233178869513,1.4320056,0.57041615,385.13644,0.0024777944,0.30494112,0.176463,5.196176598360782,10.0,0.35231864,10.0,0.03051890868949994,0.98225135,1.017716,2.986242,0.10211534,0.6493477,0.1791751,5.251728614883952,10.0,0.67361426,10.0,-0.004132421058654304,1.0023742,0.99757206,13.13408,0.049439907,0.045711126,0.048626456,4.452003419619955,0.887,0.06673863,0.611,0.5182229235301399,0.57041657,1.4320054,0.8836876,0.051727694
bag_gQP_1_tQP_2.ply,46.497655697629526,20.508770829747185,6.677271069349671,3.2949592393039793,5.70578605572806,5.10575026042061,5.524889286535174,12.587137334795118,5.2093498631745785,0.025598215,0.024677236,4.654579006449414,1.078,0.03555603,0.631,0.44364184783350064,0.62871236,1.3565478,1.0760353,0.023789382,0.9542889,0.04862646,4.452004733016062,10.0,0.955527,0.611,-0.5182233178869513,1.4320056,0.57041615,385.13644,0.0024777944,0.30494112,0.176463,5.196176598360782,10.0,0.35231864,10.0,0.03051890868949994,0.98225135,1.017716,2.986242,0.10211534,0.6493477,0.1791751,5.251728614883952,10.0,0.67361426,10.0,-0.004132421058654304,1.0023742,0.99757206,13.13408,0.049439907,0.045711126,0.048626456,4.452003419619955,0.887,0.06673863,0.611,0.5182229235301399,0.57041657,1.4320054,0.8836876,0.051727694
bag_gQP_1_tQP_3.ply,46.696805809806165,19.691409576289818,6.549815536222635,4.094116034723163,5.84335514734943,5.26994602115088,5.89146644159758,12.235918777019409,5.036764090811231,0.025598215,0.024677236,4.654579006449414,1.078,0.03555603,0.631,0.44364184783350064,0.62871236,1.3565478,1.0760353,0.023789382,0.9542889,0.04862646,4.452004733016062,10.0,0.955527,0.611,-0.5182233178869513,1.4320056,0.57041615,385.13644,0.0024777944,0.30494112,0.176463,5.196176598360782,10.0,0.35231864,10.0,0.03051890868949994,0.98225135,1.017716,2.986242,0.10211534,0.6493477,0.1791751,5.251728614883952,10.0,0.67361426,10.0,-0.004132421058654304,1.0023742,0.99757206,13.13408,0.049439907,0.045711126,0.048626456,4.452003419619955,0.887,0.06673863,0.611,0.5182229235301399,0.57041657,1.4320054,0.8836876,0.051727694
bag_gQP_2_tQP_1.ply,46.39358055540011,21.609067266273716,6.782802701282631,3.2198463628240925,5.507923077751446,5.0930648550959,5.513814399021911,12.539503309115606,5.469338921251979,0.022374185,0.023419507,4.363845289351962,0.915,0.032389525,0.65,0.33667697619416814,0.6914459,1.2372742,0.91272354,0.024513653,0.96034354,0.045933943,4.1897793350275885,10.0,0.9614415,0.595,-0.5015090258543193,1.4210908,0.5778079,437.10526,0.002197053,0.3092155,0.1839956,5.03639693823711,8.951,0.35981753,10.0,0.019020954631792694,0.9888401,1.0109435,2.8242807,0.10948469,0.65112805,0.18715772,5.049869420123722,10.0,0.67749244,10.0,0.015389249686319922,0.9912324,1.0091156,12.103683,0.05379585,0.03965641,0.045933954,4.189777005350245,0.762,0.06068421,0.595,0.501509663909221,0.57780683,1.4210908,0.7453485,0.053205196
bag_gQP_2_tQP_2.ply,46.440908150707244,20.472292266365162,6.665483048048524,3.3188402283762812,5.487758053581077,5.092366535422023,5.8128932970464815,12.205945966426777,4.987552836039156,0.022374185,0.023419507,4.363845289351962,0.915,0.032389525,0.65,0.33667697619416814,0.6914459,1.2372742,0.91272354,0.024513653,0.96034354,0.045933943,4.1897793350275885,10.0,0.9614415,0.595,-0.5015090258543193,1.4210908,0.5778079,437.10526,0.002197053,0.3092155,0.1839956,5.03639693823711,8.951,0.35981753,10.0,0.019020954631792694,0.9888401,1.0109435,2.8242807,0.10948469,0.65112805,0.18715772,5.049869420123722,10.0,0.67749244,10.0,0.015389249686319922,0.9912324,1.0091156,12.103683,0.05379585,0.03965641,0.045933954,4.189777005350245,0.762,0.06068421,0.595,0.501509663909221,0.57780683,1.4210908,0.7453485,0.053205196
bag_gQP_2_tQP_3.ply,46.53277905614097,19.757284539359784,6.6030849660964535,3.3894876639003693,5.400883702121595,5.190476578969018,5.456670091860876,12.050373970695695,5.092037969252655,0.022374185,0.023419507,4.363845289351962,0.915,0.032389525,0.65,0.33667697619416814,0.6914459,1.2372742,0.91272354,0.024513653,0.96034354,0.045933943,4.1897793350275885,10.0,0.9614415,0.595,-0.5015090258543193,1.4210908,0.5778079,437.10526,0.002197053,0.3092155,0.1839956,5.03639693823711,8.951,0.35981753,10.0,0.019020954631792694,0.9888401,1.0109435,2.8242807,0.10948469,0.65112805,0.18715772,5.049869420123722,10.0,0.67749244,10.0,0.015389249686319922,0.9912324,1.0091156,12.103683,0.05379585,0.03965641,0.045933954,4.189777005350245,0.762,0.06068421,0.595,0.501509663909221,0.57780683,1.4210908,0.7453485,0.053205196
bag_gQP_3_tQP_1.ply,46.10173250733136,21.64880113713159,6.859881769300491,3.265856909395104,5.624878246778476,5.14018031655534,5.550387223427206,12.299802837675468,5.57949188473119,0.018848475,0.022421151,3.9076719662402484,0.728,0.029291257,0.918,0.36664279366119507,0.7088569,1.2391165,0.706703,0.026671,0.9664538,0.04318996,3.760853760454594,10.0,0.9674183,0.785,-0.43530834834428034,1.3031842,0.643535,500.72223,0.0019301197,0.29651862,0.19730519,4.710950583286008,3.309,0.3561639,10.0,0.11874352854404649,0.9318617,1.0698484,2.2585368,0.13128795,0.66993505,0.20024322,4.718442396126435,10.0,0.6992209,10.0,-0.07145842650316228,1.0416471,0.9586083,11.193091,0.05985255,0.033546284,0.043189943,3.7608530845032484,0.641,0.054687526,0.785,0.43530685366608013,0.6435368,1.3031837,0.6032868,0.055605866
bag_gQP_3_tQP_2.ply,46.1951307172625,20.497165525811987,6.597842529513172,3.486613153509273,5.480464859438645,5.062830988603166,5.34689462293357,12.158954197783086,5.11728713962278,0.018848475,0.022421151,3.9076719662402484,0.728,0.029291257,0.918,0.36664279366119507,0.7088569,1.2391165,0.706703,0.026671,0.9664538,0.04318996,3.760853760454594,10.0,0.9674183,0.785,-0.43530834834428034,1.3031842,0.643535,500.72223,0.0019301197,0.29651862,0.19730519,4.710950583286008,3.309,0.3561639,10.0,0.11874352854404649,0.9318617,1.0698484,2.2585368,0.13128795,0.66993505,0.20024322,4.718442396126435,10.0,0.6992209,10.0,-0.07145842650316228,1.0416471,0.9586083,11.193091,0.05985255,0.033546284,0.043189943,3.7608530845032484,0.641,0.054687526,0.785,0.43530685366608013,0.6435368,1.3031837,0.6032868,0.055605866
bag_gQP_3_tQP_3.ply,46.2493387176052,19.75922945111439,6.615069292524196,3.544889120468611,5.685472366035479,5.230306386234272,5.52170390790328,12.024635784330659,5.193491195212739,0.018848475,0.022421151,3.9076719662402484,0.728,0.029291257,0.918,0.36664279366119507,0.7088569,1.2391165,0.706703,0.026671,0.9664538,0.04318996,3.760853760454594,10.0,0.9674183,0.785,-0.43530834834428034,1.3031842,0.643535,500.72223,0.0019301197,0.29651862,0.19730519,4.710950583286008,3.309,0.3561639,10.0,0.11874352854404649,0.9318617,1.0698484,2.2585368,0.13128795,0.66993505,0.20024322,4.718442396126435,10.0,0.6992209,10.0,-0.07145842650316228,1.0416471,0.9586083,11.193091,0.05985255,0.033546284,0.043189943,3.7608530845032484,0.641,0.054687526,0.785,0.43530685366608013,0.6435368,1.3031837,0.6032868,0.055605866
bag_gsigma_0_tsigma_16.ply,46.05524337562354,22.618838846338065,7.313939318914828,3.4517310848207217,12.874931085500341,6.7292825770381866,5.839787526169553,16.744353251470816,6.708503570318932,0.055483,0.044077456,6.646880173803793,1.719,0.07086031,1.837,0.6168085107567609,0.65035546,1.4313178,1.5844815,0.035016503,0.9008009,0.08848602,6.190535610758524,10.0,0.9051364,1.362,-0.6832402624209756,1.5033221,0.59837574,103.63549,0.008692011,0.37079445,0.15579545,7.197597631355432,10.0,0.4021949,2.726,0.019943152794676372,0.98784685,1.0121208,5.6644425,0.065460004,0.5300064,0.17602687,7.266967956648388,10.0,0.5584731,2.4,-0.07064511667133239,1.0437045,0.9567942,9.06577,0.05846237,0.09919919,0.08848602,6.19053575499457,1.2790000000000001,0.1329295,1.362,0.6832395873927021,0.59837615,1.5033216,1.256803,0.07892979
